year,Community Area,Crimes
2012,ALBANY PARK,2944
2012,ARCHER HEIGHTS,1195
2012,ARMOUR SQUARE,1539
2012,ASHBURN,2817
2012,AUBURN GRESHAM,9416
2012,AUSTIN,21332
2012,AVALON PARK,1805
2012,AVONDALE,3273
2012,BELMONT CRAGIN,6362
2012,BEVERLY,1203
2012,BRIDGEPORT,2167
2012,BRIGHTON PARK,3190
2012,BURNSIDE,535
2012,CALUMET HEIGHTS,1920
2012,CHATHAM,7232
2012,CHICAGO LAWN,8583
2012,CLEARING,1278
2012,DOUGLAS,2771
2012,DUNNING,1931
2012,EAST GARFIELD PARK,6184
2012,EAST SIDE,1745
2012,EDGEWATER,3271
2012,EDISON PARK,324
2012,ENGLEWOOD,9088
2012,FOREST GLEN,600
2012,FULLER PARK,1224
2012,GAGE PARK,3234
2012,GARFIELD RIDGE,2466
2012,GRAND BOULEVARD,4111
2012,GREATER GRAND CROSSING,8722
2012,HEGEWISCH,739
2012,HERMOSA,2049
2012,HUMBOLDT PARK,11206
2012,HYDE PARK,1920
2012,IRVING PARK,3935
2012,JEFFERSON PARK,1410
2012,KENWOOD,1794
2012,LAKE VIEW,7695
2012,LINCOLN PARK,5009
2012,LINCOLN SQUARE,2339
2012,LOGAN SQUARE,6791
2012,LOOP,7769
2012,LOWER WEST SIDE,3291
2012,MCKINLEY PARK,1339
2012,MONTCLARE,781
2012,MORGAN PARK,2709
2012,MOUNT GREENWOOD,707
2012,NEAR NORTH SIDE,11280
2012,NEAR SOUTH SIDE,1863
2012,NEAR WEST SIDE,9411
2012,NEW CITY,6812
2012,NORTH CENTER,1920
2012,NORTH LAWNDALE,10387
2012,NORTH PARK,1082
2012,NORWOOD PARK,1465
2012,OAKLAND,771
2012,OHARE,1832
2012,PORTAGE PARK,4157
2012,PULLMAN,1260
2012,RIVERDALE,1586
2012,ROGERS PARK,4923
2012,ROSELAND,9018
2012,SOUTH CHICAGO,6534
2012,SOUTH DEERING,2292
2012,SOUTH LAWNDALE,5773
2012,SOUTH SHORE,11605
2012,UPTOWN,4976
2012,WASHINGTON HEIGHTS,3963
2012,WASHINGTON PARK,3465
2012,WEST ELSDON,1368
2012,WEST ENGLEWOOD,9980
2012,WEST GARFIELD PARK,6671
2012,WEST LAWN,2447
2012,WEST PULLMAN,5744
2012,WEST RIDGE,4028
2012,WEST TOWN,9682
2012,WOODLAWN,5398
2013,ALBANY PARK,2688
2013,ARCHER HEIGHTS,1200
2013,ARMOUR SQUARE,1293
2013,ASHBURN,2812
2013,AUBURN GRESHAM,8575
2013,AUSTIN,20218
2013,AVALON PARK,1640
2013,AVONDALE,2671
2013,BELMONT CRAGIN,5705
2013,BEVERLY,1021
2013,BRIDGEPORT,1890
2013,BRIGHTON PARK,2895
2013,BURNSIDE,471
2013,CALUMET HEIGHTS,1614
2013,CHATHAM,7150
2013,CHICAGO LAWN,7291
2013,CLEARING,1114
2013,DOUGLAS,2788
2013,DUNNING,1828
2013,EAST GARFIELD PARK,6266
2013,EAST SIDE,1498
2013,EDGEWATER,2713
2013,EDISON PARK,298
2013,ENGLEWOOD,8190
2013,FOREST GLEN,443
2013,FULLER PARK,1076
2013,GAGE PARK,2824
2013,GARFIELD RIDGE,2106
2013,GRAND BOULEVARD,3995
2013,GREATER GRAND CROSSING,7716
2013,HEGEWISCH,714
2013,HERMOSA,1965
2013,HUMBOLDT PARK,10253
2013,HYDE PARK,1664
2013,IRVING PARK,3488
2013,JEFFERSON PARK,1336
2013,KENWOOD,1593
2013,LAKE VIEW,6823
2013,LINCOLN PARK,4476
2013,LINCOLN SQUARE,2216
2013,LOGAN SQUARE,5851
2013,LOOP,7779
2013,LOWER WEST SIDE,3074
2013,MCKINLEY PARK,1277
2013,MONTCLARE,634
2013,MORGAN PARK,2490
2013,MOUNT GREENWOOD,626
2013,NEAR NORTH SIDE,10101
2013,NEAR SOUTH SIDE,1812
2013,NEAR WEST SIDE,8502
2013,NEW CITY,5996
2013,NORTH CENTER,1722
2013,NORTH LAWNDALE,9788
2013,NORTH PARK,915
2013,NORWOOD PARK,1229
2013,OAKLAND,712
2013,OHARE,2131
2013,PORTAGE PARK,3970
2013,PULLMAN,1145
2013,RIVERDALE,1493
2013,ROGERS PARK,4425
2013,ROSELAND,8148
2013,SOUTH CHICAGO,5826
2013,SOUTH DEERING,2186
2013,SOUTH LAWNDALE,5103
2013,SOUTH SHORE,10566
2013,UPTOWN,4285
2013,WASHINGTON HEIGHTS,3900
2013,WASHINGTON PARK,3368
2013,WEST ELSDON,1292
2013,WEST ENGLEWOOD,9010
2013,WEST GARFIELD PARK,6669
2013,WEST LAWN,2246
2013,WEST PULLMAN,5150
2013,WEST RIDGE,3803
2013,WEST TOWN,8205
2013,WOODLAWN,4741
2014,ALBANY PARK,2395
2014,ARCHER HEIGHTS,1054
2014,ARMOUR SQUARE,1224
2014,ASHBURN,2561
2014,AUBURN GRESHAM,7972
2014,AUSTIN,18724
2014,AVALON PARK,1498
2014,AVONDALE,2367
2014,BELMONT CRAGIN,4962
2014,BEVERLY,900
2014,BRIDGEPORT,1803
2014,BRIGHTON PARK,2907
2014,BURNSIDE,402
2014,CALUMET HEIGHTS,1584
2014,CHATHAM,6257
2014,CHICAGO LAWN,6474
2014,CLEARING,997
2014,DOUGLAS,2557
2014,DUNNING,1566
2014,EAST GARFIELD PARK,5781
2014,EAST SIDE,1385
2014,EDGEWATER,2325
2014,EDISON PARK,243
2014,ENGLEWOOD,7092
2014,FOREST GLEN,461
2014,FULLER PARK,931
2014,GAGE PARK,2623
2014,GARFIELD RIDGE,1926
2014,GRAND BOULEVARD,3487
2014,GREATER GRAND CROSSING,6729
2014,HEGEWISCH,626
2014,HERMOSA,1786
2014,HUMBOLDT PARK,9193
2014,HYDE PARK,1416
2014,IRVING PARK,2837
2014,JEFFERSON PARK,1230
2014,KENWOOD,1493
2014,LAKE VIEW,5694
2014,LINCOLN PARK,4086
2014,LINCOLN SQUARE,1897
2014,LOGAN SQUARE,5091
2014,LOOP,7284
2014,LOWER WEST SIDE,2703
2014,MCKINLEY PARK,1057
2014,MONTCLARE,525
2014,MORGAN PARK,2144
2014,MOUNT GREENWOOD,671
2014,NEAR NORTH SIDE,8976
2014,NEAR SOUTH SIDE,1775
2014,NEAR WEST SIDE,7886
2014,NEW CITY,5257
2014,NORTH CENTER,1540
2014,NORTH LAWNDALE,8666
2014,NORTH PARK,872
2014,NORWOOD PARK,1251
2014,OAKLAND,638
2014,OHARE,2005
2014,PORTAGE PARK,3382
2014,PULLMAN,1216
2014,RIVERDALE,1381
2014,ROGERS PARK,3796
2014,ROSELAND,7363
2014,SOUTH CHICAGO,5233
2014,SOUTH DEERING,2252
2014,SOUTH LAWNDALE,4761
2014,SOUTH SHORE,9254
2014,UPTOWN,3806
2014,WASHINGTON HEIGHTS,3186
2014,WASHINGTON PARK,2929
2014,WEST ELSDON,1015
2014,WEST ENGLEWOOD,7596
2014,WEST GARFIELD PARK,6195
2014,WEST LAWN,2099
2014,WEST PULLMAN,4364
2014,WEST RIDGE,3405
2014,WEST TOWN,7334
2014,WOODLAWN,4171
2015,ALBANY PARK,2522
2015,ARCHER HEIGHTS,994
2015,ARMOUR SQUARE,1076
2015,ASHBURN,2307
2015,AUBURN GRESHAM,7823
2015,AUSTIN,17302
2015,AVALON PARK,1382
2015,AVONDALE,2256
2015,BELMONT CRAGIN,4816
2015,BEVERLY,985
2015,BRIDGEPORT,1607
2015,BRIGHTON PARK,2747
2015,BURNSIDE,386
2015,CALUMET HEIGHTS,1474
2015,CHATHAM,6023
2015,CHICAGO LAWN,6197
2015,CLEARING,932
2015,DOUGLAS,2515
2015,DUNNING,1653
2015,EAST GARFIELD PARK,5432
2015,EAST SIDE,1315
2015,EDGEWATER,2252
2015,EDISON PARK,256
2015,ENGLEWOOD,7224
2015,FOREST GLEN,445
2015,FULLER PARK,841
2015,GAGE PARK,2360
2015,GARFIELD RIDGE,1841
2015,GRAND BOULEVARD,3133
2015,GREATER GRAND CROSSING,6745
2015,HEGEWISCH,513
2015,HERMOSA,1726
2015,HUMBOLDT PARK,8160
2015,HYDE PARK,1508
2015,IRVING PARK,3007
2015,JEFFERSON PARK,1155
2015,KENWOOD,1364
2015,LAKE VIEW,5575
2015,LINCOLN PARK,3750
2015,LINCOLN SQUARE,1767
2015,LOGAN SQUARE,4785
2015,LOOP,7576
2015,LOWER WEST SIDE,2519
2015,MCKINLEY PARK,1080
2015,MONTCLARE,586
2015,MORGAN PARK,2072
2015,MOUNT GREENWOOD,616
2015,NEAR NORTH SIDE,9041
2015,NEAR SOUTH SIDE,1871
2015,NEAR WEST SIDE,7917
2015,NEW CITY,4972
2015,NORTH CENTER,1391
2015,NORTH LAWNDALE,8359
2015,NORTH PARK,840
2015,NORWOOD PARK,1270
2015,OAKLAND,630
2015,OHARE,1730
2015,PORTAGE PARK,3435
2015,PULLMAN,1045
2015,RIVERDALE,1186
2015,ROGERS PARK,3577
2015,ROSELAND,6611
2015,SOUTH CHICAGO,5067
2015,SOUTH DEERING,1919
2015,SOUTH LAWNDALE,4439
2015,SOUTH SHORE,9043
2015,UPTOWN,3652
2015,WASHINGTON HEIGHTS,3150
2015,WASHINGTON PARK,2754
2015,WEST ELSDON,1034
2015,WEST ENGLEWOOD,7511
2015,WEST GARFIELD PARK,6015
2015,WEST LAWN,2047
2015,WEST PULLMAN,3997
2015,WEST RIDGE,3098
2015,WEST TOWN,7059
2015,WOODLAWN,3733
2016,ALBANY PARK,2387
2016,ARCHER HEIGHTS,876
2016,ARMOUR SQUARE,1013
2016,ASHBURN,2689
2016,AUBURN GRESHAM,7536
2016,AUSTIN,16462
2016,AVALON PARK,1298
2016,AVONDALE,2263
2016,BELMONT CRAGIN,4716
2016,BEVERLY,964
2016,BRIDGEPORT,1667
2016,BRIGHTON PARK,2619
2016,BURNSIDE,393
2016,CALUMET HEIGHTS,1392
2016,CHATHAM,6189
2016,CHICAGO LAWN,5770
2016,CLEARING,954
2016,DOUGLAS,2585
2016,DUNNING,1729
2016,EAST GARFIELD PARK,4965
2016,EAST SIDE,1322
2016,EDGEWATER,2345
2016,EDISON PARK,302
2016,ENGLEWOOD,6197
2016,FOREST GLEN,569
2016,FULLER PARK,916
2016,GAGE PARK,2323
2016,GARFIELD RIDGE,2075
2016,GRAND BOULEVARD,3253
2016,GREATER GRAND CROSSING,6526
2016,HEGEWISCH,580
2016,HERMOSA,1532
2016,HUMBOLDT PARK,7919
2016,HYDE PARK,1739
2016,IRVING PARK,2956
2016,JEFFERSON PARK,1055
2016,KENWOOD,1395
2016,LAKE VIEW,6026
2016,LINCOLN PARK,4198
2016,LINCOLN SQUARE,1962
2016,LOGAN SQUARE,5414
2016,LOOP,8945
2016,LOWER WEST SIDE,2592
2016,MCKINLEY PARK,1032
2016,MONTCLARE,663
2016,MORGAN PARK,1960
2016,MOUNT GREENWOOD,601
2016,NEAR NORTH SIDE,10442
2016,NEAR SOUTH SIDE,1908
2016,NEAR WEST SIDE,9364
2016,NEW CITY,4877
2016,NORTH CENTER,1381
2016,NORTH LAWNDALE,8545
2016,NORTH PARK,964
2016,NORWOOD PARK,1308
2016,OAKLAND,693
2016,OHARE,1687
2016,PORTAGE PARK,3209
2016,PULLMAN,1190
2016,RIVERDALE,1263
2016,ROGERS PARK,3629
2016,ROSELAND,6797
2016,SOUTH CHICAGO,4731
2016,SOUTH DEERING,1869
2016,SOUTH LAWNDALE,4653
2016,SOUTH SHORE,8096
2016,UPTOWN,3523
2016,WASHINGTON HEIGHTS,3171
2016,WASHINGTON PARK,2670
2016,WEST ELSDON,1088
2016,WEST ENGLEWOOD,6910
2016,WEST GARFIELD PARK,5677
2016,WEST LAWN,2117
2016,WEST PULLMAN,3847
2016,WEST RIDGE,3243
2016,WEST TOWN,8165
2016,WOODLAWN,3581
